,도로명,위도,경도
0,서울특별시 관악구 난향9길  15-3,37.4621748,126.9153450
1,서울특별시 관악구 신림로59길  15-10,37.4827666,126.9291672
2,서울특별시 관악구 신림로36길  16,37.4759322,126.9383139
3,서울특별시 관악구 난곡로  63,37.4607846,126.9187534
4,서울특별시 관악구 남부순환로172길  16-7,37.4832346,126.9246739
5,서울특별시 관악구 남부순환로  1391,37.4804486,126.9053240
6,서울특별시 관악구 쑥고개로2가길  22,37.4771804,126.9393477
7,서울특별시 관악구 신림로  248,37.4780957,126.9341124
8,서울특별시 관악구 신림로17길  32,37.4693477,126.9363465
9,서울특별시 관악구 봉천로12길  65,37.4858690,126.9303342
10,서울특별시 관악구 신림로56길  32,37.4811079,126.9319670
11,서울특별시 관악구 난곡로  238-1,37.4755408,126.9168113
12,서울특별시 관악구 신림로36길  14,37.4759444,126.9381840
13,서울특별시 관악구 신림로36길  27-9,37.4763712,126.9389128
14,서울특별시 관악구 신림동1길  21,37.4865755,126.9285756
15,서울특별시 관악구 신림로36길  24-8,37.4756905,126.9386218
16,서울특별시 관악구 신림로36길  30-10,37.4755456,126.9389416
17,서울특별시 관악구 남부순환로172길  13,37.4830669,126.9252273
18,서울특별시 관악구 봉천로  284,37.4870804,126.9323731
19,서울특별시 관악구 신림동1길  20-4,37.4866063,126.9281935
20,서울특별시 관악구 신림로54길  16,37.4802068,126.9311539
21,서울특별시 관악구 신림로64길  46,37.4851202,126.9322521
22,서울특별시 관악구 신원로3가길  16,37.4811091,126.9272104
23,서울특별시 관악구 난곡로  246,37.4759866,126.9164329
24,서울특별시 관악구 남부순환로172길  27,37.4828326,126.9243737
25,서울특별시 관악구 대학14길  75,37.4650291,126.9350273
26,서울특별시 관악구 신림로17길  87,37.4668840,126.9365689
27,서울특별시 관악구 난곡로  217,37.4738480,126.9174909
28,서울특별시 관악구 신림로65길  16-5,37.4853769,126.9284618
29,서울특별시 관악구 신림로28길  49-8,37.4725781,126.9363183
